Fri Jun 29 03:46:04 UTC 2018
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50290 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50874 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50496 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50992 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50268 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50206 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50118 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50204 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50612 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50618 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50306 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50350 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50872 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50986 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50568 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50086 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50410 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50834 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50126 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50674 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50466 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50296 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50090 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50210 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50260 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50710 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50486 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50284 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50504 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50776 TIME_WAIT   
tcp        0      0 ::ffff:172.24.0.7:3128  ::ffff:172.24.0.9:50058 TIME_WAIT   
